user_id,entropy_rate
1,0.272997
10,0.216516
11,0.403449
12,0.273972
13,0.235528
14,0.105693
15,2
16,1.97523
17,2
18,2.58496
19,1.50861
2,0.100651
20,2
21,0.736844
22,1.58496
23,2.66667
24,0.193355
25,0.580174
26,0.28643
27,0.22175
28,1.06923
29,0.430769
3,0.172149
30,0.639853
31,1.50903
32,0.126504
33,0.13262
34,0.585967
35,1.05101
36,0.198478
37,0.257671
38,0.237472
39,0.143127
4,0.375167
40,0.209882
41,0.142789
42,0.0626789
43,0.328255
44,1.58496
45,0.517399
46,0.0861835
5,0.425413
6,0.198315
7,2.04079
8,2
9,0.747887
