res1.X,res1.Y
97698,22977
97698,22976
97698,22977
97699,22978
97700,22979
97700,22979
97694,22969
97679,22945
97699,22977
97685,22921
97692,22942
97700,22945
97704,22945
97676,23001
97680,22961
97669,22962
97655,22969
97647,22986
97607,23072
97575,23127
97717,23003
97716,23004
97720,23002
97700,23016
97726,22998
97735,23002
97728,23011
97718,23003
97727,23012
97722,23010
97725,23011
97725,23027
97721,23007
97735,23017
97769,23051
97779,23076
97764,23068
97686,23016
97682,23018
97662,23062
97663,23053
97674,23028
97666,23033
97637,23063
97641,23034
97655,23030
97692,23012
97697,22975
97703,22984
97699,22977
97704,22985
97694,22972
97691,22967
97687,22960
97697,22976
97700,22967
97700,22965
97696,22968
97700,22970
97699,22992
97702,22970
97700,22972
97702,22974
97702,22976
97702,22975
97789,23020
97772,22964
97786,22946
97755,22962
97839,22905
97860,22906
97879,22887
97871,22888
97701,22982
97697,22973
97698,22976
97702,22984
97697,22975
97697,22977
97699,22976
97699,22980
97696,22972
97705,22986
97707,22989
97705,22985
97726,22988
97709,22991
97697,22976
97663,22919
97668,22913
97698,22977
97699,22979
97698,22976
97687,22948
97691,22959
97698,22977
97699,22979
97701,22981
97698,22975
97697,22975
97699,22976
97696,22974
97687,22964
97697,22975
97700,22977
97698,22975
97697,22976
97697,22976
97697,22975
97698,22976
97697,22976
97702,22978
97700,22977
97699,22976
97698,22977
97699,22976
97698,22976
97691,22973
97677,22972
97654,22966
97654,22980
97638,22970
97626,22973
97698,22977
97697,22976
97698,22975
97697,22976
97697,22976
97697,22975
97698,22977
97698,22976
97698,22977
97697,22976
97698,22977
97717,23037
97181,23152
97489,23010
97697,22975
97715,22998
97676,22948
97708,22990
97698,22976
97227,22883
97249,22815
97234,22808
97237,22810
97198,22833
97240,22819
97237,22811
97257,22818
97599,22882
97699,22974
97699,22977
97698,22976
97697,22976
97699,22978
97704,22975
97715,22975
97712,22976
97710,22970
97722,22976
97734,22977
97786,22983
97856,22996
97857,22988
97893,23013
97894,22985
97699,22978
97698,22977
97669,22926
97699,22978
97704,22970
97719,22962
97732,22952
97734,22960
97694,22978
97780,22950
97750,22966
97711,22985
97684,22995
97614,22996
97701,22983
97697,22974
97698,22975
97698,22977
97698,22978
97699,22978
97699,22978
97714,22972
97554,22901
97399,22782
97352,22771
97344,22781
97270,22738
97345,22781
97346,22770
97386,22775
97545,22883
97713,22975
97711,22985
97710,22985
97698,22976
97698,22976
97698,22976
97698,22976
97698,22976
97698,22977
97698,22972
97699,22976
97697,22971
97698,22976
97696,22977
97697,22977
97697,22975
97698,22976
97702,22963
97698,22975
97703,22973
97698,22975
97698,22974
97701,22972
97698,22976
97700,22974
97698,22976
97696,22973
97712,22966
97707,22968
